ABB,'ABB'
RAPICUT,'RAPICUT'
RMGALLOY,'RMGALLOY'
ROLTA,'ROLTA'
RUBFILA,'RUBFILA'
RUCHISOYA,'RUCHISOYA'
SALORAINTL,'SALORAINTL'
SAMTELIN,'SAMTELIN'
JINDALSAW,'JINDALSAW'
JKLAKSHMI,'JKLAKSHMI'
SHREECEM,'SHREECEM'
SKPMIL,'SKPMIL'
RELINFRA,'RELINFRA'
SOLCT,'SOLCT'
STEELCO,'STEELCO'
TATAPOWER,'TATAPOWER'
SPMLINFRA,'SPMLINFRA'
SUNDRMFAST,'SUNDRMFAST'
SUNFLAG,'SUNFLAG'
SUPPETRO,'SUPPETRO'
SWARAJENG,'SWARAJENG'
TATAELXSI,'TATAELXSI'
ACC,'ACC'
THERMAX,'THERMAX'
TIRUMALCHM,'TIRUMALCHM'
THOMASCOOK,'THOMASCOOK'
TIMEX,'TIMEX'
TOKYOPLAST,'TOKYOPLAST'
TORNTPHARM,'TORNTPHARM'
TPINDIA,'TPINDIA'
TRANSCHEM,'TRANSCHEM'
AMBUJACEM,'AMBUJACEM'
UTLINDS,'UTLINDS'
UNIPHOS,'UNIPHOS'
VHL,'VHL'
HINDALCO,'HINDALCO'
WSTCSTPAPR,'WSTCSTPAPR'
HOCL,'HOCL'
MPILCORPL,'MPILCORPL'
PASUPTAC,'PASUPTAC'
PGHH,'PGHH'
MUKANDLTD,'MUKANDLTD'
AGCNET,'AGCNET'
UCALFUEL,'UCALFUEL'
HARRMALAYA,'HARRMALAYA'
FEDERALBNK,'FEDERALBNK'
TATASTEEL,'TATASTEEL'
SKFINDIA,'SKFINDIA'
ASHOKLEY,'ASHOKLEY'
CUMMINSIND,'CUMMINSIND'
TATACOMM,'TATACOMM'
ABBOTINDIA,'ABBOTINDIA'
BAJAJHLDNG,'BAJAJHLDNG'
BHARATFORG,'BHARATFORG'
ESCORTS,'ESCORTS'
HINDMOTORS,'HINDMOTORS'
LT,'LT'
M&amp;M,'M&amp;M'
BOSCHLTD,'BOSCHLTD'
PREMIER,'PREMIER'
BPCL,'BPCL'
SIEMENS,'SIEMENS'
TATAMOTORS,'TATAMOTORS'
VOLTAS,'VOLTAS'
GESHIP,'GESHIP'
DEEPAKFERT,'DEEPAKFERT'
EXCELINDUS,'EXCELINDUS'
GARWARPOLY,'GARWARPOLY'
GLAXO,'GLAXO'
GNFC,'GNFC'
NOVARTIND,'NOVARTIND'
SANOFI,'SANOFI'
GSKCONS,'GSKCONS'
PFIZER,'PFIZER'
GSFC,'GSFC'
HINDUNILVR,'HINDUNILVR'
AKZOINDIA,'AKZOINDIA'
NOCIL,'NOCIL'
TATACHEM,'TATACHEM'
TNPETRO,'TNPETRO'
ZUARIGLOB,'ZUARIGLOB'
NESTLEIND,'NESTLEIND'
TATAGLOBAL,'TATAGLOBAL'
ASIANPAINT,'ASIANPAINT'
BRITANNIA,'BRITANNIA'
COLPAL,'COLPAL'
EIHOTEL,'EIHOTEL'
INDHOTEL,'INDHOTEL'
CASTROLIND,'CASTROLIND'
ITC,'ITC'
APOLLOTYRE,'APOLLOTYRE'
CEATLTD,'CEATLTD'
MODIRUBBER,'MODIRUBBER'
FINOLEXIND,'FINOLEXIND'
SUNRINV,'SUNRINV'
PEOPLIN,'PEOPLIN'
DSINVEST,'DSINVEST'
CENTRUM,'CENTRUM'
OSCAR,'OSCAR'
TCIFINANCE,'TCIFINANCE'
KRATOSENER,'KRATOSENER'
ANTARIKSH,'ANTARIKSH'
IITL,'IITL'
INDPRUD,'INDPRUD'
TATAINVEST,'TATAINVEST'
GROMOTRADE,'GROMOTRADE'
MOTOGENFIN,'MOTOGENFIN'
RAPIDIN,'RAPIDIN'
WALCHPF,'WALCHPF'
ZSWASTSA,'ZSWASTSA'
WHBRADY,'WHBRADY'
TECHNVISN,'TECHNVISN'
SHAILY,'SHAILY'
BBTC,'BBTC'
BOMBCYC,'BOMBCYC'
GREAVESCOT,'GREAVESCOT'
MACK,'MACK'
MULLER,'MULLER'
ZNEWSAGA,'ZNEWSAGA'
ANANDPROJ,'ANANDPROJ'
INDIANVSH,'INDIANVSH'
CENTPROV,'CENTPROV'
COASTCORP,'COASTCORP'
CHOWGULSTM,'CHOWGULSTM'
GLOBOFFS,'GLOBOFFS'
DHENUBUILD,'DHENUBUILD'
ASIIL,'ASIIL'
SAGCEM,'SAGCEM'
DECCANCE,'DECCANCE'
MANGLMCEM,'MANGLMCEM'
NCLIND,'NCLIND'
SAURASHCEM,'SAURASHCEM'
SHREDIGCEM,'SHREDIGCEM'
BOMBPOT,'BOMBPOT'
BOROSIL,'BOROSIL'
LERTHAI,'LERTHAI'
RASSIREF,'RASSIREF'
TRIVENIGQ,'TRIVENIGQ'
NILACHAL,'NILACHAL'
IPAPPM,'IPAPPM'
BALKRISIND,'BALKRISIND'
NATHPULP,'NATHPULP'
ORIENTPPR,'ORIENTPPR'
CITADEL,'CITADEL'
ROLLT,'ROLLT'
SESHAPAPER,'SESHAPAPER'
SOLIDCO,'SOLIDCO'
SHBHAWPA,'SHBHAWPA'
RAMAPULP,'RAMAPULP'
VAPIPPR,'VAPIPPR'
SINTEX,'SINTEX'
BLUBLND-B,'BLUBLND-B'
DCM,'DCM'
FORBESCO,'FORBESCO'
HPCOTTON,'HPCOTTON'
UNITEDINT,'UNITEDINT'
JAMSHRI,'JAMSHRI'
KATRSPG,'KATRSPG'
KESORAMIND,'KESORAMIND'
LAKSHMIMIL,'LAKSHMIMIL'
VTL,'VTL'
MODERN,'MODERN'
PENINLAND,'PENINLAND'
